text,user_id,external_id,timestamp
Чемодан вскрыли и украли вещи на рейсе SU524! Возмутительно!,user_6933,ext_1,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU278. Это катастрофа!,user_7983,ext_2,2025-10-24T17:02:40Z
Уже 8 дня жду свой чемодан с рейса SU206. Где мои вещи?!,user_4781,ext_3,2025-10-24T17:02:40Z
Уже 13 дня жду свой чемодан с рейса SU701. Где мои вещи?!,user_7505,ext_4,2025-10-24T17:02:40Z
"Потеряли мой багаж на рейсе SU796. Никто не может сказать, где он находится!",user_8758,ext_5,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU185! Номер багажной бирки 64030. Это недопустимо!,user_4055,ext_6,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU588! Номер багажной бирки 67274. Это недопустимо!,user_4811,ext_7,2025-10-24T17:02:40Z
"Багаж поврежден после перелета SU707. Чемодан разбит, вещи испорчены!",user_9274,ext_8,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU899! Возмутительно!,user_2199,ext_9,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU406! Номер багажной бирки 37936. Это недопустимо!,user_8293,ext_10,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU830! Номер багажной бирки 72332. Это недопустимо!,user_6409,ext_11,2025-10-24T17:02:40Z
"Потеряли мой багаж на рейсе SU480. Никто не может сказать, где он находится!",user_3423,ext_12,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU744! Возмутительно!,user_7694,ext_13,2025-10-24T17:02:40Z
Багажная служба работает отвратительно! Потеряли чемодан с рейса SU773!,user_9631,ext_14,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU690! Возмутительно!,user_2080,ext_15,2025-10-24T17:02:40Z
"Багаж поврежден после перелета SU162. Чемодан разбит, вещи испорчены!",user_1116,ext_16,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU561. Это катастрофа!,user_2637,ext_17,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU546! Номер багажной бирки 74919. Это недопустимо!,user_9492,ext_18,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU133! Возмутительно!,user_3552,ext_19,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU672! Возмутительно!,user_7426,ext_20,2025-10-24T17:02:40Z
Уже 5 дня жду свой чемодан с рейса SU617. Где мои вещи?!,user_4380,ext_21,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU507! Номер багажной бирки 86310. Это недопустимо!,user_9410,ext_22,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU860! Номер багажной бирки 74988. Это недопустимо!,user_9539,ext_23,2025-10-24T17:02:40Z
Уже 9 дня жду свой чемодан с рейса SU827. Где мои вещи?!,user_2691,ext_24,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU174! Номер багажной бирки 34098. Это недопустимо!,user_3697,ext_25,2025-10-24T17:02:40Z
"Багаж поврежден после перелета SU973. Чемодан разбит, вещи испорчены!",user_1032,ext_26,2025-10-24T17:02:40Z
Уже 6 дня жду свой чемодан с рейса SU291. Где мои вещи?!,user_2908,ext_27,2025-10-24T17:02:40Z
Багажная служба работает отвратительно! Потеряли чемодан с рейса SU141!,user_6374,ext_28,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU356. Это катастрофа!,user_8889,ext_29,2025-10-24T17:02:40Z
Чемодан вскрыли и украли вещи на рейсе SU950! Возмутительно!,user_4739,ext_30,2025-10-24T17:02:40Z
Багажная служба работает отвратительно! Потеряли чемодан с рейса SU481!,user_1470,ext_31,2025-10-24T17:02:40Z
"Багаж поврежден после перелета SU194. Чемодан разбит, вещи испорчены!",user_4404,ext_32,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU529! Номер багажной бирки 24454. Это недопустимо!,user_2920,ext_33,2025-10-24T17:02:40Z
Багажная служба работает отвратительно! Потеряли чемодан с рейса SU618!,user_6564,ext_34,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU848. Это катастрофа!,user_2880,ext_35,2025-10-24T17:02:40Z
Багаж задержали на 7 дней! Рейс SU999. Где компенсация?!,user_8771,ext_36,2025-10-24T17:02:40Z
Уже 4 дня жду свой чемодан с рейса SU358. Где мои вещи?!,user_6411,ext_37,2025-10-24T17:02:40Z
Багаж задержали на 7 дней! Рейс SU465. Где компенсация?!,user_6068,ext_38,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU270. Это катастрофа!,user_1654,ext_39,2025-10-24T17:02:40Z
Мой чемодан не прилетел вместе со мной рейсом SU685. Это катастрофа!,user_3736,ext_40,2025-10-24T17:02:40Z
Багаж задержали на 4 дней! Рейс SU474. Где компенсация?!,user_2657,ext_41,2025-10-24T17:02:40Z
Багажная служба работает отвратительно! Потеряли чемодан с рейса SU646!,user_9285,ext_42,2025-10-24T17:02:40Z
Мой багаж потерян после рейса SU107! Номер багажной бирки 89540. Это недопустимо!,user_5719,ext_43,2025-10-24T17:02:40Z
Ваш сайт бронирования ужасен! Невозможно купить билет!,user_1500,ext_44,2025-10-24T17:02:40Z
Система выдает ошибку при выборе мест на рейс SU375!,user_9016,ext_45,2025-10-24T17:02:40Z
Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,user_8529,ext_46,2025-10-24T17:02:40Z
"Пытаюсь забронировать рейс SU769 уже час, сайт не работает!",user_7590,ext_47,2025-10-24T17:02:40Z
Система выдает ошибку при выборе мест на рейс SU853!,user_6112,ext_48,2025-10-24T17:02:40Z
Ваш сайт бронирования ужасен! Невозможно купить билет!,user_4520,ext_49,2025-10-24T17:02:40Z
"Оплата прошла, но билет не забронирован! Что происходит?!",user_6750,ext_50,2025-10-24T17:02:40Z
Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,user_6859,ext_51,2025-10-24T17:02:40Z
Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,user_3557,ext_52,2025-10-24T17:02:40Z
"Оплата прошла, но билет не забронирован! Что происходит?!",user_3708,ext_53,2025-10-24T17:02:40Z
"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",user_5109,ext_54,2025-10-24T17:02:40Z
Двойное списание при бронировании! Верните деньги!,user_2274,ext_55,2025-10-24T17:02:40Z
"Пытаюсь забронировать рейс SU485 уже час, сайт не работает!",user_3160,ext_56,2025-10-24T17:02:40Z
Ваш сайт бронирования ужасен! Невозможно купить билет!,user_8546,ext_57,2025-10-24T17:02:40Z
"Пытаюсь забронировать рейс SU726 уже час, сайт не работает!",user_5267,ext_58,2025-10-24T17:02:40Z
"Пытаюсь забронировать рейс SU576 уже час, сайт не работает!",user_1583,ext_59,2025-10-24T17:02:40Z
Система выдает ошибку при выборе мест на рейс SU639!,user_5620,ext_60,2025-10-24T17:02:40Z
"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",user_8490,ext_61,2025-10-24T17:02:40Z
"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",user_9451,ext_62,2025-10-24T17:02:40Z
Ваш сайт бронирования ужасен! Невозможно купить билет!,user_3083,ext_63,2025-10-24T17:02:40Z
"Оплата прошла, но билет не забронирован! Что происходит?!",user_3744,ext_64,2025-10-24T17:02:40Z
"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",user_1659,ext_65,2025-10-24T17:02:40Z
